stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:PBER1,"Paul Bert",,47.21323310,-1.59805777,,,0,StopArea:PBER
StopPoint:PBER2,"Paul Bert",,47.21315764,-1.59789360,,,0,StopArea:PBER
StopPoint:PBFF1,"Paimboeuf",,47.17629634,-1.62063952,,,0,StopArea:PBFF
StopPoint:PBFF2,"Paimboeuf",,47.17659188,-1.61911583,,,0,StopArea:PBFF
StopPoint:PBLE1,"Pâtis Brûlé",,47.19919800,-1.50741689,,,0,StopArea:PBLE
StopPoint:PBLE2,"Pâtis Brûlé",,47.20055145,-1.50734231,,,0,StopArea:PBLE
StopPoint:PBLE3,"Pâtis Brûlé",,47.20005703,-1.50758430,,,0,StopArea:PBLE
StopPoint:PBLE4,"Pâtis Brûlé",,47.19925895,-1.50720983,,,0,StopArea:PBLE
StopPoint:PBOT1,"Poulbot",,47.21404598,-1.64805884,,,0,StopArea:PBOT
StopPoint:PBOT2,"Poulbot",,47.21326059,-1.64837048,,,0,StopArea:PBOT
StopPoint:PBRE1,"Petit Breton",,47.21333355,-1.60012726,,,0,StopArea:PBRE
StopPoint:PBRE2,"Petit Breton",,47.21326616,-1.60025449,,,0,StopArea:PBRE
StopPoint:PBYE1,"Port Boyer",,47.24116591,-1.53868193,,,0,StopArea:PBYE
StopPoint:PBYE2,"Port Boyer",,47.24111443,-1.53806986,,,0,StopArea:PBYE
StopPoint:PCAC1,"Petit Carcouët",,47.22817129,-1.58682034,,,0,StopArea:PCAC
StopPoint:PCAC2,"Petit Carcouët",,47.22793994,-1.58673726,,,0,StopArea:PCAC
StopPoint:PCBI1,"Picabia",,47.25462453,-1.57673686,,,0,StopArea:PCBI
StopPoint:PCBI2,"Picabia",,47.25443541,-1.57673625,,,0,StopArea:PCBI
StopPoint:PCDI1,"Picaudière",,47.28041848,-1.48541452,,,0,StopArea:PCDI
StopPoint:PCDI2,"Picaudière",,47.27934050,-1.48505950,,,0,StopArea:PCDI
StopPoint:PCEN1,"Place Centrale",,47.26248539,-1.67303837,,,0,StopArea:PCEN
StopPoint:PCEN2,"Place Centrale",,47.26222562,-1.67196038,,,0,StopArea:PCEN
StopPoint:PCHA1,"Portechaise",,47.20073105,-1.52567092,,,0,StopArea:PCHA
StopPoint:PCHA2,"Portechaise",,47.20063870,-1.52600784,,,0,StopArea:PCHA
StopPoint:PCNN1,"Planchonnais",,47.25357413,-1.47471237,,,0,StopArea:PCNN
StopPoint:PCNN2,"Planchonnais",,47.25338336,-1.47530723,,,0,StopArea:PCNN
StopPoint:PCRE1,"Poincaré",,47.22226668,-1.58458926,,,0,StopArea:PCRE
StopPoint:PCRE2,"Poincaré",,47.22234260,-1.58447584,,,0,StopArea:PCRE
StopPoint:PCRE3,"Poincaré",,47.22276983,-1.58515497,,,0,StopArea:PCRE
StopPoint:PCRE4,"Poincaré",,47.22277297,-1.58506266,,,0,StopArea:PCRE
StopPoint:PCSI1,"Petite Censive",,47.26045751,-1.56114237,,,0,StopArea:PCSI
StopPoint:PCSI2,"Petite Censive",,47.26130903,-1.56419448,,,0,StopArea:PCSI
StopPoint:PCTI1,"Petit Chantilly",,47.25444904,-1.60068113,,,0,StopArea:PCTI
StopPoint:PCTI2,"Petit Chantilly",,47.25455324,-1.60079464,,,0,StopArea:PCTI
StopPoint:PCVO1,"Pontecorvo",,47.24745893,-1.53097729,,,0,StopArea:PCVO
StopPoint:PCVO2,"Pontecorvo",,47.24685249,-1.53187249,,,0,StopArea:PCVO
StopPoint:PCZI1,"Pont de Chézine",,47.23814483,-1.61442473,,,0,StopArea:PCZI
